Name Angebot,Ansprechpartner,Branche,Initiative,Interesse/ Kategorie,Leuchtturmthema 2026,"Merchartikel, Infoblatt, Websitelink?",Um was geht´s?
Sponsoring von Community-Events und Reisekostenzuschüsse,"Anja Kr., Michael Raith, Robin",Games & XR,GB,Förderprogramme,,"https://www.games-bavaria.com/sponsoring-antrage/
https://www.games-bavaria.com/delegationsreisen-ausschreibung/","finanzielle Unterstützung für öffentliche Events in der bayerischen Gamesbranche 
Zuschuss für Reise- & Ausstellungskosten von Game-Entwickler:innen und Studios, die ihre Angebote auf (internationalen) Veranstaltungen präsentieren oder ggf. als Besucher:in oder Speaker an Konferenzen teilnehmen"
"Mit der eigenen Marke Partner werden auf der Expo und im Programm (MTM, FuVi, LRFT etc)","Hans, Katrin Alff, Svenja Dall'Armi","Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MTM,"Aus- und Weiterbildung, Kontakte & PR & Marketing, Veranstaltung & Event",,https://medientage.de/partner/partner-oder-aussteller-werden/,"Es gibt vielfältige Möglichkeiten, sich als Partner im Rahmen der unterschiedlichen Konferenz-Formate der MEDIENTAGE MÜNCHEN einzubringen. Egal ob Sponsoring, Ausstellungsfläche oder inhaltliche Session auf der Bühne. "
,,,,,,,
,,,,,,,
"Insights, Trends und Impulse -MTM-Blog",,"Audio, Journalismus, PR & Marketing",MTM,,,,
"Insights, Trends und Impulse -Mediathek",Corbi,"Audio, Journalismus, PR & Marketing",MTM,,,https://medientage.de/media/,Die einzelnen Panels zu den verschiedenen Themen und Bühnen
"Insights, Trends und Impulse -Podcast",Lukas Schöne,"Audio, Journalismus, PR & Marketing",MTM,Trends & Studien & Reports,,https://medientage.de/media/,
Medienberufe im Überblick,Miriam - SIM,"Audio, Games & XR, Journalismus, PR & Marketing",SIM,Aus- und Weiterbildung,,https://www.startintomedia.de/berufe,"Du möchtest was mit Medien machen, aber weißt noch nicht genau, was? Wir zeigen dir, welche Berufe es gibt und wie dein Weg dahin klappt."
Qualifizierungs-Angebote für Medienberufe,Miriam - SIM,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing",SIM,Aus- und Weiterbildung,,https://www.startintomedia.de/angebotsdatenbank,"Qualifizierungs­angebote für Medien in Bayern. Hier findest du Studiengänge, Ausbildungsplätze und Weiterbildungsangebot für Medienberufe in Bayern. "
Strategie Sparring (🤝 R&D Fellowship und Media Tech Lab),Jason,"Audio, Games & XR, HR & Recruitung, Journalismus, PR & Marketing, Start-up Branche",MLB,"Coaching & Mentoring, Kontakte & PR & Marketing",Zukunft mit Strategie,https://www.media-lab.de/de/angebote/strategie-sparring/,"Entwickle eine funktionierende Strategie
Das Strategie Sparring ist ein Förderprogramm
des Media Lab Bayerns, das Führungskräften aus
Medienhäusern dabei, hilft komplexe
strategische Herausforderungen strukturiert
anzugehen.
Führungskräfte aus dem mittleren Management
werden unterstützt, eine validierte Strategie für ihren Bereich zu entwickeln: von HR, über Marketing, bis hin zum Produktmanagement.
Dafür geben wir dir erfahrene Expert:innen aus dem Netzwerk des Media Lab Bayern an die Hand und
führen dich durch den Prozess von der Recherche
bis zur abschließenden Kommunikation in deinem
Unternehmen.
Das Förderprogramm ist kostenlos"
Event Sponsoring Gamesbranche,"Robin, Anja Kr.",Games & XR,GB,"Förderprogramme, Kontakte & PR & Marketing",,https://www.games-bavaria.com/sponsoring-antrage/,"Wir unterstützen eine Vielzahl von Veranstaltungen, darunter:
• Fachmessen und Konferenzen: Für Branchenprofis und Spieleentwickler.
• Community-Events: Für Gaming-Enthusiasten und -Interessierte.
• Innovative Projekte, die neuen und kreativen Ideen im Bereich Games Raum geben.
Bei den gesponserten Veranstaltungen muss die:der Veranstalter:in einen Sitz in Bayern* haben und das Event muss der Öffentlichkeit zugänglich sein."
Eventkalender Gamesbranche,Robin,Games & XR,GB,Kontakte & PR & Marketing,,https://www.games-bavaria.com/event-einreichen/,"Der Eventkalender von Games/Bavaria sammelt Konferenzen, Netzwerkveranstaltungen, Workshops, Termine, Calls for Participation, Wettbewerbe und Deadlines die für die bayerische Gamesbranche interessant sein können. Dieser Service ist auch ein Angebot für euch. Auf dieser Seite könnt ihr euer Event bei Games/Bavaria einreichen und die Reichweite unseres Netzwerks nutzen, um mehr Interessierte aus Bayern zu erreichen.

"
LOKALRUNDFUNKTAGE,"Beate Hones, Christiane Spanner","AI, Audio, Infrastruktur, Produktion, Streaming, TV, politische Entscheider",MTM,Veranstaltung & Event,,https://lokalrundfunktage.de/,"Die Lokalrundfunktage in Nürnberg sind deutschlandweit der größte Branchentreff für den lokalen und regionalen Rundfunk: Mehr als 900 Teilnehmende aus der Rundfunk- und Medienwelt informieren sich über neue Trends, Technologien und Produkte im Fernseh- und Radiomarkt. Die zweitägige Veranstaltung ist ein Forum für Meinungsaustausch, Zukunftsvisionen und Lösungsansätze. Das Programm der Lokalrundfunktage umfasst Workshops, Diskussionsrunden und Vorträge von rund 80 nationalen und internationalen Speakern."
"BIPoC in Media Community - München & Ansbach ","Alicia Fricke, Vien-Ha","AI, Audio, Games & XR, Journalismus, PR & Marketing, Social Media, Start-up Branche",MLB,Veranstaltung & Event,,https://www.media-lab.de/de/community/bipoc-in-media/,"Das BIPoC Media Meet-up bietet Medienschaffenden aus der BIPoC-Community einen Raum, um sich zu vernetzen, Erfahrungen auszutauschen und neue Impulse für die eigene Arbeit zu gewinnen. In den Räumen des Media Lab Bayern bietet sich die Gelegenheit, BIPoC Creators, Journalist:innen und Gründer:innen aus München und darüber hinaus zu treffen."
"DOKfest München 2026: VR Pop-Up Kino 2026 ",,"Games & XR, Journalismus, Kunstschaffende, Museen",XRH,Veranstaltung & Event,,,"herausragende, aktuelle, preisgekrönte, XR Experiences einem breiten Publikum zugänglich machen"
DOKfest München 2026: DOKForum,,"Games & XR, Journalismus, Museen, PR & Marketing, Produktion, Publishing, Start-up Branche, Streaming, TV",XRH,"Aus- und Weiterbildung, Förderprogramme, Veranstaltung & Event",,,Markt und Vorträge/Panels zum Themenbereich Contententwicklung und Publishing von XR Produktionen
Xplorer Day 2026,,Schulen,XRH,"Aus- und Weiterbildung, Coaching & Mentoring, Veranstaltung & Event",,,"inspirierende Vorträge, praxisnahe Workshops und eine interaktive Expo mit spannenden Anwendungen. Expertinnen und Experten aus Wissenschaft, Wirtschaft und Schule geben Einblicke in aktuelle Entwicklungen und zeigen, wie KI und XR sinnvoll und wirksam im Unterricht eingesetzt werden können."
XR für den Mittelstand (in Kooperation mit der IHK),,"AI, Ausbildungsbtriebe, Berufsgenossenschaften, Infrastruktur",XRH,Veranstaltung & Event,,,"Anwenden und Ausprobieren von XR Anwendungen für mittelständische Unternehmen. Best Cases Anwendung für den EInsatz im Betriebsablauf "
"EU Initiative – Virtual Worlds & Web 4.0 ",,"Ausbildungsbtriebe, Infrastruktur, Start-up Branche, politische Entscheider",XRH,,,,"Eine neue Strategie für Web 4.0 und virtuelle Welten, um den nächsten technologischen Wandel zu steuern und ein offenes, sicheres, vertrauenswürdiges, faires und inklusives, digitales Umfeld für EU-Bürger, Unternehmen und öffentliche Verwaltungen. sicherzustellen.
"
,,,,,,,
